d_loss,g_loss
0.423208714,6.127885818
0.642343283,5.921247005
0.361038417,3.512884855
0.409163147,3.235628128
1.469425917,7.034181595
0.199617237,5.831738472
0.143432781,7.384310246
1.040214539,5.875552654
0.655706048,5.210093975
0.08342234,5.592357635
0.25873825,3.858655214
0.367788792,3.14424181
0.298540294,3.422294617
0.162251353,4.843277931
1.28753078,7.186825275
1.155164242,5.736686707
1.059889078,8.351186752
1.041392565,2.957330227
0.889010668,5.689121723
0.41495651,4.756478786
0.239363655,3.424801826
0.121684566,4.455615044
0.272038639,3.387382269
0.640084982,2.523821831
1.141951323,8.367810249
0.283823162,3.390613556
1.236060023,8.246985435
0.817526698,2.318798542
0.679406404,2.409940243
0.331027985,3.253605366
0.182478458,5.534583092
0.218764693,4.856052399
0.136669233,3.953028679
0.190578148,3.700345039
0.103540398,4.25564909
1.763051987,1.583564043
0.680112302,2.537371397
0.384491682,3.054150105
0.433160692,2.689738989
1.119692087,1.810626864
0.483560085,5.211521149
0.666407049,4.934692383
0.210243374,4.046895027
0.25157094,3.634231567
0.609704912,2.420522213
0.325610846,4.266347408
0.273272902,4.340195179
0.198416173,3.774700165
0.109017342,4.657435417
0.321829796,6.58598423
0.608356237,2.833357811
2.729029179,1.558594704
0.703472733,2.511939526
0.397425056,3.909531832
0.336795092,4.111708164
0.807436943,2.013489962
0.381163061,3.837609768
0.540280879,5.0882864
0.808304667,2.06682682
0.619301975,5.39139986
0.277822703,3.082786322
0.67289418,6.633938313
0.406280607,3.910269737
0.159941703,4.491149426
0.307381332,3.365286827
1.194440126,8.10350132
0.302675724,3.271906853
0.475959957,5.070282936
0.172592983,4.53931284
0.444629788,5.162557602
0.371786773,2.779543877
0.252690703,3.380797386
1.017622113,1.995017529
0.555163562,3.106489897
0.169924527,6.084775925
0.359008521,4.950650215
0.720516443,3.500920296
1.123100162,1.876930237
0.201921746,3.481741428
0.564527094,4.032673836
0.164239794,3.816212654
0.087291174,4.997797966
0.731806755,3.391006947
0.43982771,4.159940243
0.175602645,3.514050484
0.092153825,5.606062889
0.609423041,8.085235596
